MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=10800, out_features=2048, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=2048, out_features=1024, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=1024, out_features=512, bias=True)
    (7): Dropout(p=0.5, inplace=False)
    (8): ReLU()
    (9): Linear(in_features=512, out_features=256, bias=True)
    (10): Dropout(p=0.5, inplace=False)
    (11): ReLU()
    (12): Linear(in_features=256, out_features=4, bias=True)
  )
)
tensor([0.0339, 0.0357, 0.0465, 0.0208], device='cuda:0')
Epoch [1/1000], Loss: 0.0016, Saved!
Epoch [90/1000], Loss: 0.1067, Acc: 0.9583,ValidSet Acc: 0.2986
Epoch [91/1000], Loss: 0.1206, Acc: 0.9722,ValidSet Acc: 0.3194
Epoch [92/1000], Loss: 0.0514, Acc: 0.9861,ValidSet Acc: 0.3194
Epoch [93/1000], Loss: 0.0770, Acc: 0.9792,ValidSet Acc: 0.3194
Epoch [94/1000], Loss: 0.0782, Acc: 0.9769,ValidSet Acc: 0.3194
Epoch [95/1000], Loss: 0.1630, Acc: 0.9491,ValidSet Acc: 0.3194
Epoch [96/1000], Loss: 0.0688, Acc: 0.9792,ValidSet Acc: 0.2986
Epoch [97/1000], Loss: 0.0564, Acc: 0.9792,ValidSet Acc: 0.2986
Epoch [98/1000], Loss: 0.2703, Acc: 0.9699,ValidSet Acc: 0.2986
Epoch [99/1000], Loss: 0.1009, Acc: 0.9699,ValidSet Acc: 0.3194
Epoch [100/1000], Loss: 0.0123, Acc: 1.0000,ValidSet Acc: 0.3194
