MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=186, out_features=256, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=256, out_features=128, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=128, out_features=5, bias=True)
  )
)
tensor([0.0392, 0.0202, 0.0357, 0.0465, 0.0192], device='cuda:0')
Epoch [1/1000], Loss: 0.9162, Saved!
Epoch [83/1000], Loss: 0.9978, Acc: 0.6142,ValidSet Acc: 0.2083
Epoch [84/1000], Loss: 0.9166, Acc: 0.6551,ValidSet Acc: 0.2083
Epoch [85/1000], Loss: 0.9389, Acc: 0.6043,ValidSet Acc: 0.2083
Epoch [86/1000], Loss: 0.9572, Acc: 0.6198,ValidSet Acc: 0.2083
Epoch [87/1000], Loss: 0.8573, Saved!
Epoch [87/1000], Loss: 0.8573, Acc: 0.6551,ValidSet Acc: 0.2083
Epoch [88/1000], Loss: 0.9592, Acc: 0.6090,ValidSet Acc: 0.2083
Epoch [89/1000], Loss: 0.8958, Acc: 0.6133,ValidSet Acc: 0.2083
Epoch [90/1000], Loss: 0.9416, Acc: 0.6231,ValidSet Acc: 0.2240
Epoch [91/1000], Loss: 1.0196, Acc: 0.5916,ValidSet Acc: 0.2083
Epoch [92/1000], Loss: 0.8673, Acc: 0.6560,ValidSet Acc: 0.2240
Epoch [93/1000], Loss: 0.9303, Acc: 0.6015,ValidSet Acc: 0.2240
Epoch [94/1000], Loss: 0.8756, Acc: 0.6320,ValidSet Acc: 0.2240
Epoch [95/1000], Loss: 0.8764, Acc: 0.6405,ValidSet Acc: 0.2240
Epoch [96/1000], Loss: 0.8718, Acc: 0.6485,ValidSet Acc: 0.2240
Epoch [97/1000], Loss: 0.8490, Saved!
Epoch [97/1000], Loss: 0.8490, Acc: 0.6461,ValidSet Acc: 0.2396
Epoch [98/1000], Loss: 0.8146, Saved!
Epoch [98/1000], Loss: 0.8146, Acc: 0.6715,ValidSet Acc: 0.2396
Epoch [99/1000], Loss: 0.9050, Acc: 0.6189,ValidSet Acc: 0.2396
Epoch [100/1000], Loss: 0.8285, Acc: 0.6494,ValidSet Acc: 0.2240
